T,Sb_av,Sb_std,varSb_av,varSb_std,Sc_av,Sc_std
5000,1114.75412,0.09809712330132096,1606.99354,3.163082280055388,1363.1902099999995,0.5722612435767483
10000,1162.5665999999999,0.1428030601912342,2429.60631,4.532472036416767,1410.14274,0.8341021906217647
15000,1209.86121,0.19403681841344975,3237.6550500000003,5.101601220450219,1457.10223,0.9379616229355836
20000,1257.11056,0.2282625733667885,4041.51752,8.993619148129536,1503.29637,1.415057320429164
25000,1304.2048200000002,0.20933167366645403,4830.477,7.779664661796232,1549.5631600000002,0.6864131543028026
30000,1350.8125799999998,0.15768684028796187,5599.3588500000005,9.15509168924628,1595.53952,0.4758497678889657
35000,1397.16311,0.16942392068419335,6369.93648,13.029888014008314,1641.25518,0.8468471701551652
40000,1443.6456500000002,0.25291752904846143,7129.183350000001,15.351016225009541,1687.97336,1.3984974066476006
45000,1489.5699299999999,0.3523715597207451,7864.711230000001,14.363999652467704,1733.07602,1.376507182545857
50000,1535.41702,0.20385276451404113,8596.65187,10.53138602103719,1777.9106299999999,1.228808103041296
55000,1580.80773,0.18732437668387766,9319.2585,13.945150647447154,1822.2617699999998,0.740076847428738
60000,1626.4159799999998,0.3391355652243103,10046.26405,17.344601618096846,1867.7373899999998,1.0511362922570826
65000,1671.4150100000002,0.33006315289650867,10755.97915,14.968306632097649,1912.5092300000001,1.1783362237069785
70000,1716.23786,0.35196260369527027,11445.54826,17.292832306201916,1956.15609,1.4766737821536613
75000,1761.0833700000003,0.3949326829980421,12136.47945,18.986292284448556,2000.4401299999997,1.1773331177283146
80000,1805.3836499999998,0.21796276402174172,12793.62021,22.609605770311017,2044.49119,1.0836794419476423
85000,1849.66701,0.39789888778430893,13466.71249,19.395077612654795,2088.1510200000002,0.9890805233145024
90000,1893.57162,0.17214122574206106,14111.424110000002,13.728761892642956,2130.9111399999997,0.6540558939419038
95000,1937.5811200000003,0.2943525158716814,14773.860130000001,21.82626446646531,2175.13832,0.7543198430374113
100000,1980.9846200000004,0.28195638953573837,15390.815510000004,19.466849656452222,2217.9167899999998,1.3294881341704665
