t,T,Sb_th,varSb_th,S2_th
0,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
1,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
5,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
10,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
25,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
50,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
100,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
200,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
500,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
1000,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
2000,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
5000,5000,1069.9650146866616,1576.3946851416445,1293.8428219452878
