t,Sb_av,Sb_std,varSb_av,varSb_std,S2_av,S2_std,CNR_av,CNR_std
0,1069.94144,0.09346115984735173,1595.45013,2.4373208726181494,1178.94084,2.3631979596300687,2.728855652817686,0.059379039472109776
1,1069.93878,0.12476328626643368,1579.61508,2.6639103118536336,1190.7707699999999,2.384369371993391,3.0402448216057985,0.06101879603925664
5,1069.91332,0.10443962657925943,1577.60507,1.7968724195390091,1190.88063,2.200459562477833,3.0455801378819336,0.05665353958717535
10,1069.9354600000001,0.14694143867535772,1579.22205,2.580766360308489,1190.5879200000002,2.481706158593262,3.0360785724015424,0.06146591681152917
25,1069.93807,0.12203953498761692,1577.94074,2.6515811132982976,1190.8496099999998,2.5307002147429634,3.0438186296386602,0.06305185432871614
50,1069.89466,0.10030667176215,1577.4038699999999,2.8360243824939584,1190.8048700000002,2.8084948399631893,3.0443017816790148,0.06920839269392612
100,1069.91672,0.1331019894666727,1578.8258600000001,2.51163506831706,1190.9427600000001,2.485615580977894,3.045868849544739,0.06275489681761341
200,1069.93129,0.14501423688723694,1578.3824499999998,2.0102591809267425,1190.7780599999999,2.5348917855404047,3.0417647366500526,0.0636907041306901
500,1069.91229,0.13358900740703517,1578.7508500000001,2.0853290240391935,1190.7196099999999,2.4354795357178194,3.040445470577537,0.06195529061959677
1000,1069.9073199999998,0.14278863960410867,1576.5192,2.476117145451682,1190.6952099999999,2.4180314970859955,3.0421133058515064,0.06258506323708751
2000,1069.9083500000002,0.1224691818377044,1580.16929,2.4146644224198504,1188.39511,2.526953210271163,2.9807238620093353,0.06532270337775822
5000,1069.91648,0.10308882383651775,1579.18477,2.763639184137489,1190.60933,2.590610091484265,3.0371452898248927,0.06613474436695459
