r,T,Sb_th,varSb_th,Sc_th
0,10000,1115.7007777918177,2368.3980785252543,1338.4619892715095
1,10000,1115.7007777918177,2368.3980785252543,1363.3902626473223
5,10000,1115.7007777918177,2368.3980785252543,1363.3902634430563
10,10000,1115.7007777918177,2368.3980785252543,1363.3902644368643
25,10000,1115.7007777918177,2368.3980785252543,1363.3902674185604
50,10000,1115.7007777918177,2368.3980785252543,1363.390272388969
100,10000,1115.7007777918177,2368.3980785252543,1363.3902823289684
200,10000,1115.7007777918177,2368.3980785252543,1363.390302209396
500,10000,1115.7007777918177,2368.3980785252543,1363.3903618506392
1000,10000,1115.7007777918177,2368.3980785252543,1363.390461252745
2000,10000,1115.7007777918177,2368.3980785252543,1363.3906600570015
5000,10000,1115.7007777918177,2368.3980785252543,1363.3912564698755
10000,10000,1115.7007777918177,2368.3980785252543,1363.3922504904058
